,Finglish,Persian
1656,"az cheshmaaye pof kardat maloome, boro khodeto film kon bache man khodam khatme harchi ghalamam.",از چشمای پف کردت معلومه، برو خودتو فیلم کن بچه من خودم ختم هر چی قلمم.
1837,"haalaa, in mozoo be maa forsate ijaade chand senaariyo raa daad.",حالا، این موضوع به ما فرصت ایجاد چند سناریو را داد،
778,in tori ham digar raa sedaa bezanim,اینطوری همدیگه رو صدا بزنیم
920,revaayat haa shabih hamdigarand,روایتها شبیه همدیگرند
1520,pesarak baa ta'ajob be medaad negaah kard va chize khaasi dar aan nadid.,پسرک با تعجب به مداد نگاه کرد و چیز خاصی در ان ندید
190,ouna behem tohmat drough gouei zadand.,اونا بهم تهمت دروغگویی زدن
378,moragheb e mehmanan e na khnde va baran bashid.,مراقب میهمانان ناخوانده و فراری از باران باشیم
680,yek baar in ro gofteam na?,یه بار اینو گفتم، نه؟
602,ba yek morabi va meghdari boodje yek app e jadid tarahi kardand ke be jameeshan komak konad.,با یک مربی و مقداری بودجه، یک اپ جدید طراحی کردند که به جامعهشان کمک میکند
1601,vaghti yekishoon barmigarde.,وقتی یکیشون بر می گرده
1722,asabaani tar mishavad. aare. raast mige baayad khafash konim.,عصبانی تر می شود آره. راست میگه باید خفش کنم.
1685,chandelor ham aslan nemifahme.,چندلر هم اصلا نمی فهمه
69,faghat az in tarigh be gofteh on ha mitavan bar besiyari az tars haye mortabet ba khabar resani chireh shood.,فقط از این طریق، بگفته آنها، میتوان بر بسیاری از ترسهای مرتبط با خبررسانی چیره شد
1362,shaazde koochooloo chekaar konam ke hich vaght tarkam nakone.,شازده کوچولو چه کار کنم که هیچ وقت ترکم نکنه
396,shayad moshkel az ma nabashad.,شايد مشکل از ما نباشه
1693,sharike jensi mage oon nist ke baa ham pool mizaarin az saaghi jens migirin?,شریک جنسی مگه اون نیست که باهم پول میذارین از ساقی جنس میگیرین؟
1906,dige nemishe baahaat too ye otaagh va zire yek saghf zendegi kard.,دیگه نمیشه باهات تو یک اتاق و زیر یک سقف زندگی کرد
1482,banaa bar in shomaa az kojaa shoroo mikonid?,بنابراین شما از کجا شروع میکنید؟
199,be sandough postam dast nazan.,به صندوق پستم دست نزن
1383,fekr konam oon faraar kard.,فکر کنم اون فرار کرد
404,bayad kale ash ra bokonim tou ghif.,باید کله شو بکنیم تو قیف
444,rastesh hich sali sabeghe nadashte ast man zood tar az aayam e emtehant dars bekhounam va jaelb injast ba lezat dars mikhondam va jazab tarin khordad ra tajrobe kardam.,راستش هیچ سالی سابقه نداشته من زودتر از ایام امتحانات درس بخونم و جالب اینجاست با لذتم درس میخوندم و جذابترین خرداد رو تجربه کردم
1541,aan haa aayandeye moshtarakemaan raa dar dast haayeshaam daarand.,آنها آیندهٔ مشترکمان را در دستهایشان دارند
1000,"baa chizaayi ke migam movaafeghin, na?",با چیزایی که میگم موافقین، نه؟
1408,chiye setaare donbaale daar?,چیه ستاره دنباله دار؟
1703,"mesle oon film, zang bezanam be ye ghaatel biyaad mano bokoshe.",مثل اون فیلم،زنگ بزنم به یه قاتل بیاد منو بکشه
120,yalla rou ghalbet neshoon salib bekesh.,یالا رو قلبت نشون صلیب بکش
1559,ahdaafe omidvaar konandeye ejtemaai va eghtesaadi raa be tore jedi dar nezaami hayaat pazir bar rooye zamin donbaal mikonad.,اهداف امیدوارکننده اجتماعی و اقتصادی را بطور جدی در نظامی حیاتپذیر بر روی زمین دنبال میکند
1040,"injaa, in ro negaah kon.",اینجا، این رو نگاه کن
1329,dokhtaraaye alaan zerang shodan.,دخترای الان زرنگ شدن.
1753,baraaye chizi ke mikhaahand dar zendegi be dast biyaavarand.,برای چیزی که میخواهند در زندگی به دست بیاورند
1527,asre delneshini daashte baashi.,عصر دلنشینی داشته باشی
1855,kaaylaa dar donyaa be onvaane asbaab baaziye saal entekhaab shod.,کایلا در دنیا بعنوان اسباببازی سال انتخاب شد
1068,age atraafiyaam bebinan daaram ghose mikhoram be ehtemaale ziyaad mifahman elatesh chi boode va man nemikhaam befahman.,اگه اطرافیام ببینن دارم غصه میخورم به احتمال زیاد میفهمن علتش چی بوده و من نمیخوام بفهمن
653,che tori havaas khod raa part konim taa dast az sar kermanshaah bardaarad,چجوری حواس خدا رو پرت کنیم تا دست از سر کرمانشاه برداره
1870,mishe vaase manam bekhari?,میشه واسه منم بخری ؟
405,kari be kar ha ye agha ye hosini nadashte bash.,کاری به کار اقای حسینی نداشته باشین
1779,- begoo darbaarash fekr mikoni.,بگو دربارش فکر می کنی-
1711,nemitavaanam in kaar raa bokonam.,نمیتوانم این کار را بکنم
1158,ke ye kaargare saade ham mitoone beraahati pardaakht kone.,كه یه كارگر ساده هم میتونه براحتی پرداخت كنه
827,mishavad yek lahze harf nazanim?,ميشه يه لحظه حرف نزني؟
1395,azizam negaraan nabaash.,عزیزم نگران نباش
1390,sag haaye sangish gofte boodam.,سگهای سنگیش گفته بودم
1916,raast mige parvaane. taa haalaa nadide boodam inghadr sare haal baashin. bezanam be takhte.,راست می گه پروانه. تا حالا ندیده بودم انقدر سرحال باشین. بزنم به تخته.
580,"boro baba toam, zesht e sht e.",برو بابا توام! زشته! زشته!
969,baraaye hamin soaal be zehnam resid,برای همین این سوال به ذهنم رسید
223,"hey kari be aghaeideh mazhabi man nadashte bash, bashe?",هي کاري به عقايد مذهبي من نداشته باش ، باشه ؟
816,man haal va hosele nadaaram paa beshavam taa baazaar raah bioftam va biayam,من حال و حوصله ندارم پاشم تا بازار راه بیفتم و بیام.
1245,in ketaab maanande simorgh va si morgh ast.,این کتاب مانند سیمرغ و سی مرغ است
222,mikhahad faza ra avaz konad.,می خواهد فضا را عوض کند
807,gonde bood,گنده بود
101,biya inga biya inga.,.بيا اينجا ، بيا اينجا
933,bish az hezaar va chaahaar sad saal pish koodaki dar shahr make cheshm be jahan goshood,بيش از هزار و چهار صد سال پيش کودکی در شهر مکه چشم به جهان گشود
1634,too esfand shahr khoshhaale.,تو اسفند شهر خوشحاله
1539,bazi vaghtaa khodam oonjaam.,بعضی وقتها خودم اونجام
1498,"shast saalegi chehel saalegiye jadid ast, az lahaaze badani.",شصت سالگی چهل سالگی جدید است، از لحاظ بدنی
311,baazi afrad aan ra rok goei radikal minamand jaei ke shakhsan ahameiat midahid amaa mostaghim be chalesh ham mikeshid.," بعضی افراد آن را ""رکگویی رادیکال"" مینامند، جاییکه شخصا اهمیت میدهید، اما مستقیم به چالش هم میکشید"
1367,badesh baghale piyaade ro mineshastim.,بعدش بغل پیاده رو می نشستیم
530,dastan haei ke emrooz be shoma gofte am nemoone ha ye tasaadofi nistand.,داستانهایی که امروز به شما گفتهام نمونههای تصادفی نیستند
674,aare aare maa aan raa daashtim,اره اره ما اونو داشتيم
1444,nemidoonam badehaa gharaare dobaare biyaad va baraaye hamishe bemoone yaa na.,نمیدونم بعدها قراره دوباره بیاد و برای همیشه بمونه یانه
1761,vali baayad vaaghean in mamooriyat raa jedi begirim.,ولی باید واقعاً این مأموریت را جدی بگیریم
1160,nahveye khabare bad daadane maa maazandaraanihaa.,نحوه خبر بد دادن ما مازندرانی ها
117,hala doo dalil vojood dare.,حالا دو دليل وجود داره
1825,age mishe piyaade berim too raah behetoon migam manam ghabool kardam.,اگه می شه پیاده بریم تو راه بهتون میگم منم قبول کردم
1488,khoobe in ehsaase khoobiye.,خوبه، این احساس خوبیه
1358,matne khodkoshi vojood daashte.,.متن خودکشی وجود داشته
708,aan mesaal kaamelan motafaavet raa dar nazar begirid sandogh baazneshastegi moalemaan shikago yek sarmaaye gozaar aagaah 10 meliaard dolaari,حال مثالی کاملاً متفاوت را در نظر میگیریم: صندوق بازنشستگی معلمان شیکاگو، یک سرمایهگذار آگاه ۱۰ میلیارد دلاری
1162,az damaaghet daare khoon miyaad.,از دماغت داره خون میاد
594,zamani ke dooste man dokonat dar sal e do hezaro yek modir aamel e sherkat e soup e cample shod arzesh e saham e sherkat be tazegi be nesf reside bood.,زمانیکه دوست من دوگ کونانت در سال ۲۰۰۱ مدیرعامل شرکت سوپ کمپل شد، ارزش سهام شرکت به تازگی به نصف رسیده بود
1503,mesle ye joor koshti gereftane.,مثل یه جور کشتی گرفتنه
1512,chetor in etefaagh oftaad.,چطور این اتفاق افتاد؟
1848,"hey, maamaan, shaad hasti?",هی، مامان ، شاد هستی؟
1364,in mavaared be faarsi bargardaan shode and.,این موارد به فارسی برگردانشدهاند
1146,vaase hamin baraaye ye hafte.,واسه همین برای یه هفته
106,tasviry az tanha goli ke perspolise dar final asia zad.,تصویری از تنها گلی که پرسپولیس در فینال آسیا زد
356,"in mitavand kheili mohem bashad, be vigheh vaghti mogheiat e amrg vazendegi bashad.",این میتواند خیلی مهم باشد، بویژه وقتی مساله موقعیتهای مرگ و زندگی پیش میآید
625,va be maghamat e amricaei tose mikonim ke ebteda ba nezamian khod dar khalij e fars sohbat konand va sepas ezhar e nazar konand.,وبه مقامات آمریکایی توصیه می کنیم که ابتدا با نظامیان خود در خلیج فارس صحبت کنند و سپس به اظهار نظر بپردازند
1076,engilisihaa daaran miyaan?,انگلیسی ها دارن میان ؟
1538,raahe digari ke doog be kaarkonaan ehsaase arzesh daad va be aan haa neshaan daad ke tavajoh mikonad in bood.,راه دیگری که دوگ به کارکنان احساس ارزش داد و به آنها نشان داد که توجه میکند این بود
1335,haalaa in sagaa ro chikaareshoon konim?,حالا این سگا رو چیکارشون کنیم؟
1401,oh na na hame chiz khoobe.,اوه نه نه همه چیز خوبه
233,hameh az tars touye shekam ham milouland va be sorat jarou o khakendaz barayash miavarand.,همه از ترس توی شکم هم می لولند و به سرعت جاروخاک انداز برایش می آورند
730,to roopoosh sefid mipooshi,.تو روپوش سفيد مي پوشي
21,hameh az ghaza khosheshan amad.,همه از غذا خوششون اومد
1037,hichi dige 8 aabaan bordam kaado ro daadam behesh.,هیچی دیگه ۸ آبان بردم کادو رو دادم بهش
636,mikhan ghahve khaane bokonandesh.,ميخان قهوه خونه بکننش
1815,baa faryaad chand baar begam? cheraa be kharje kasi nemire?,بافریاد چندبار بگم؟ چرا به خرج کسی نمیره؟
627,oou yek motokhases e nabeghe ast.,اون يک متخصص نابغه هست
1597,manam khoshhaalam ke bargashti.,منم خوشحالم که برگشتی
531,bihoosh mishavad bache am in ghadr ke bihosele ast va khaste.,بی هوش می شه بچم،انقدر که بی حوصلست و خسته
1410,to ham kheyli taghir paziri.,تو هم خیلی تغییر پذیری
1299,"dar haali ke khoon az badanash khaarej mishod, be doktor goft: aayaa man be behesht miravam?",در حالی که خون از بدنش خارج می شد، به دکتر گفت:ایا من به بهشت می رم؟
1908,aanghadr behetoon komak mikonam ke.,انقدر بهتون کمک می کنم که
1268,in daastaane man bar migarde be chand saale pish.,این داستان من برمیگرده به چند سال پیش
1144,kaargarhaash daaran khooneye manoo kharaab mikonan.,کارگرهاش دارن خونه ی منو خراب می کنن
889,yani ghalbet nabood? maa raa begoo ke koli negaraanet shodim,یعنی قلبت نبود. مارو بگو کلی نگرانت شدیم.
