1##1	سمو اله رحم رحم
1##2	حمد اله ربب علم
1##3	رحم رحم
1##4	ملك یوم دین
1##5	عبد عون
1##6	هدی صرط قوم
1##7	صرط نعم غیر غضب ضلل
2##1	الٓمٓ
2##2	كتب ریب هدی وقی
2##3	امن غیب قوم صلو رزق نفق
2##4	امن نزل نزل قبل اخر یقن
2##5	هدی ربب فلح
2##6	كفر سوی نذر نذر امن
2##7	ختم اله قلب سمع بصر غشو عذب عظم
2##8	نوس قول امن اله یوم اخر امن
2##9	خدع اله امن خدع نفس شعر
2##10	قلب مرض زید اله مرض عذب الم كون كذب
2##11	قول فسد ارض قول صلح
2##12	فسد شعر
2##13	قول امن امن نوس قول امن امن سفه سفه علم
2##14	لقی امن قول امن خلو شطن قول هزا
2##15	اله هزا مدد طغی عمه
2##16	شری ضلل هدی ربح تجر كون هدی
2##17	مثل مثل وقد نور ضوا حول ذهب اله نور ترك ظلم بصر
2##18	صمم بكم عمی رجع
2##19	صوب سمو ظلم رعد برق جعل صبع اذن صعق حذر موت اله حوط كفر
2##20	كود برق خطف بصر كلل ضوا مشی ظلم قوم شیا اله ذهب سمع بصر اله كلل شیا قدر
2##21	نوس عبد ربب خلق قبل وقی
2##22	جعل ارض فرش سمو بنی نزل سمو موه خرج ثمر رزق جعل اله ندد علم
2##23	كون ریب نزل عبد اتی سور مثل دعو شهد دون اله كون صدق
2##24	فعل فعل وقی نور وقد نوس حجر عدد كفر
2##25	بشر امن عمل صلح جنن جری تحت نهر كلل رزق ثمر رزق قول رزق قبل اتی شبه زوج طهر خلد
2##26	اله حیی ضرب مثل بعض فوق امن علم حقق ربب كفر قول رود اله مثل ضلل كثر هدی كثر ضلل فسق
2##27	نقض عهد اله بعد وثق قطع امر اله وصل فسد ارض خسر
2##28	كیف كفر اله كون موت حیی موت حیی رجع
2##29	خلق ارض جمع سوی سمو سوی سبع سمو كلل شیا علم
2##30	قول ربب ملك جعل ارض خلف قول جعل فسد سفك دمو سبح حمد قدس قول علم علم
2##31	علم سمو كلل عرض ملك قول نبا سمو كون صدق
2##32	قول سبح علم علم علم حكم
2##33	قول نبا سمو نبا سمو قول قول علم غیب سمو ارض علم بدو كون كتم
2##34	قول ملك سجد سجد ابی كبر كون كفر
2##35	قول سكن زوج جنن اكل رغد حیث شیا قرب شجر كون ظلم
2##36	زلل شطن خرج كون قول هبط بعض بعض عدو ارض قرر متع حین
2##37	لقی ربب كلم توب توب رحم
2##38	قول هبط جمع اتی هدی تبع هدی خوف حزن
2##39	كفر كذب ایی صحب نور خلد
2##40	بنی ذكر نعم نعم وفی عهد وفی عهد رهب
2##41	امن نزل صدق كون اول كفر شری ایی ثمن قلل وقی
2##42	لبس حقق بطل كتم حقق علم
2##43	قوم صلو اتی زكو ركع ركع
2##44	امر نوس برر نسی نفس تلو كتب عقل
2##45	عون صبر صلو كبر خشع
2##46	ظنن لقی ربب رجع
2##47	بنی ذكر نعم نعم فضل علم
2##48	وقی یوم جزی نفس نفس شیا قبل شفع اخذ عدل نصر
2##49	نجو اول سوم سوا عذب ذبح بنی حیی نسو بلو ربب عظم
2##50	فرق بحر نجو غرق اول نظر
2##51	وعد ربع لیل اخذ عجل بعد ظلم
2##52	عفو بعد شكر
2##53	اتی كتب فرق هدی
2##54	قول قوم قوم ظلم نفس اخذ عجل توب برا قتل نفس خیر عند برا توب توب رحم
2##55	قول امن رای اله جهر اخذ صعق نظر
2##56	بعث بعد موت شكر
2##57	ظلل غمم نزل منن سلو اكل طیب رزق ظلم كون نفس ظلم
2##58	قول دخل قری اكل حیث شیا رغد دخل بوب سجد قول حطط غفر خطا زید حسن
2##59	بدل ظلم قول غیر قول نزل ظلم رجز سمو كون فسق
2##60	سقی قوم قول ضرب عصو حجر فجر ثنی عشر عین علم كلل انس شرب اكل شرب رزق اله عثو ارض فسد
2##61	قول صبر طعم وحد دعو ربب خرج نبت ارض بقل قثا فوم عدس بصل قول بدل دنو خیر هبط مصر سال ضرب ذلل سكن بوا غضب اله كون كفر ایی اله قتل نبا غیر حقق عصی كون عدو
2##62	امن هود نصر صبا امن اله یوم اخر عمل صلح اجر عند ربب خوف حزن
2##63	اخذ وثق رفع فوق طور اخذ اتی قوی ذكر وقی
2##64	ولی بعد فضل اله رحم كون خسر
2##65	علم عدو سبت قول كون قرد خسا
2##66	جعل نكل بین یدی خلف وعظ وقی
2##67	قول قوم اله امر ذبح بقر قول اخذ هزا قول عوذ اله كون جهل
2##68	قول دعو ربب بین قول قول بقر فرض بكر عون بین فعل امر
2##69	قول دعو ربب بین لون قول قول بقر صفر فقع لون سرر نظر
2##70	قول دعو ربب بین بقر شبه شیا اله هدی
2##71	قول قول بقر ذلل ثور ارض سقی حرث سلم وشی قول جیا حقق ذبح كود فعل
2##72	قتل نفس درا اله خرج كون كتم
2##73	قول ضرب بعض حیی اله موت رای ایی عقل
2##74	قسو قلب بعد حجر شدد قسو حجر فجر نهر شقق خرج موه هبط خشی اله اله غفل عمل
2##75	طمع امن كون فرق سمع كلم اله حرف بعد عقل علم
2##76	لقی امن قول امن خلو بعض بعض قول حدث فتح اله حجج عند ربب عقل
2##77	علم اله علم سرر علن
2##78	امم علم كتب منی ظنن
2##79	كتب كتب یدی قول عند اله شری ثمن قلل كتب یدی كسب
2##80	قول مسس نور یوم عدد قول اخذ عند اله عهد خلف اله عهد قول اله علم
2##81	كسب سوا حوط خطا صحب نور خلد
2##82	امن عمل صلح صحب جنن خلد
2##83	اخذ وثق بنی عبد اله ولد حسن قرب یتم سكن قول نوس حسن قوم صلو اتی زكو ولی قلل عرض
2##84	اخذ وثق سفك دمو خرج نفس دور قرر شهد
2##85	قتل نفس خرج فرق دور ظهر اثم عدو اتی اسر فدی حرم خرج امن بعض كتب كفر بعض جزی فعل خزی حیی دنو یوم قوم ردد شدد عذب اله غفل عمل
2##86	شری حیی دنو اخر خفف عذب نصر
2##87	اتی كتب قفو بعد رسل اتی بنی بین اید روح قدس كلل جیا رسل هوی نفس كبر فرق كذب فرق قتل
2##88	قول قلب غلف لعن اله كفر قلل امن
