1##1	ٱسْم ٱللَّه رَّحْمَٰن رَّحِیم
1##2	حَمْد ٱللَّه رَبّ عَٰلَمِین
1##3	رَّحْمَٰن رَّحِیم
1##4	مَٰلِك یَوْم دِین
1##5	إِیَّا عَبَدَ إِیَّا ٱسْتَعِینُ
1##6	هَدَي صِرَٰط مُّسْتَقِیم
1##7	صِرَٰط ٱلَّذِي أَنْعَمَ عَلَيٰ غَیْر مَغْضُوب عَلَيٰ لَا ضَآلّ
2##1	الٓمٓ
2##2	ذَٰلِك كِتَٰب لَا رَیْب فِي هُدًي مُتَّقِین
2##3	ٱلَّذِي ءَامَنَ غَیْب أَقَامَ صَلَوٰة مِن مَا رَزَقَ أَنفَقَ
2##4	ٱلَّذِي ءَامَنَ مَا أَنزَلَ إِلَيٰ مَا أَنزَلَ مِن قَبْل آخِر یُوقِنُ
2##5	أُولَٰٓئِك عَلَيٰ هُدًي مِن رَبّ أُولَٰٓئِك مُفْلِحُون
2##6	إِنّ ٱلَّذِي كَفَرَ سَوَآء عَلَيٰ أَنذَرَ أَم لَم أَنذَرَ لَا ءَامَنَ
2##7	خَتَمَ ٱللَّه عَلَيٰ قَلْب عَلَيٰ سَمْع عَلَيٰ بَصَر غِشَٰوَة عَذَاب عَظِیم
2##8	مِن نَّاس مَن قَالَ ءَامَنَ ٱللَّه یَوْم آخِر مَا مُؤْمِن
2##9	یُخَٰدِعُ ٱللَّه ٱلَّذِي ءَامَنَ مَا یَخْدَعُ إِلَّا نَفْس مَا یَشْعُرُ
2##10	فِي قَلْب مَّرَض زَادَ ٱللَّه مَّرَض عَذَاب أَلِیم مَا كَانَ كَذَبَ
2##11	إِذَا قَالَ لَا أَفْسَدُ فِي أَرْض قَالَ إِنّ مَا مُصْلِح
2##12	أَلَآ إِنّ مُفْسِد لَٰكِن لَا یَشْعُرُ
2##13	إِذَا قَالَ ءَامَنَ مَا ءَامَنَ نَّاس قَالَ ءَامَنَ مَا ءَامَنَ سَفِیه أَلَآ إِنّ سَفِیه لَٰكِن لَا عَلِمَ
2##14	إِذَا لَقُ ٱلَّذِي ءَامَنَ قَالَ ءَامَنَ إِذَا خَلَا إِلَيٰ شَیْطَٰن قَالَ إِنّ مَع إِنّ مَا مُسْتَهْزِءُون
2##15	ٱللَّه ٱسْتُهْزِئَ مَدَّ فِي طُغْیَٰن یَعْمَهُ
2##16	أُولَٰٓئِك ٱلَّذِي ٱشْتَرَيٰ ضَلَٰلَة هُدًي مَا رَبِحَت تِجَٰرَة مَا كَانَ مُّهْتَدُون
2##17	مَثَل مَثَل ٱلَّذِي ٱسْتَوْقَدَ نَار لَمَّا أَضَآءَ مَا حَوْل ذَهَبَ ٱللَّه نُور تَرَكَ فِي ظُلُمَٰت لَا أَبْصَرَ
2##18	أَصَمّ أَبْكَم أَعْمَيٰ لَا رَجَعَ
2##19	أَو صَیِّب مِن سَمَآء فِي ظُلُمَٰت رَعْد بَرْق جَعَلَ أَصَٰبِع فِي أُذُنٌ مِن صَاعِقَة حَذَر مَوْت ٱللَّه مُحِیط كَٰفِرُون
2##20	كَادَ بَرْق خَطِفَ بَصَر كُلَّمَا أَضَآءَ مَّشَ فِي إِذَا أَظْلَمَ عَلَيٰ قَامَ لَو شَآءَ ٱللَّه ذَهَبَ سَمْع بَصَر إِنّ ٱللَّه عَلَيٰ كُلّ شَيْء قَدِیر
2##21	أَیُّهَا نَّاس عَبَدَ رَبّ ٱلَّذِي خَلَقَ ٱلَّذِي مِن قَبْل لَعَلّ ٱتَّقَيٰ
2##22	ٱلَّذِي جَعَلَ أَرْض فِرَٰش سَمَآء بِنَآء أَنزَلَ مِن سَمَآء مَآء أَخْرَجَ مِن ثَمَرَٰت رِزْق لَا جَعَلَ ٱللَّه أَندَاد عَلِمَ
2##23	إِن كَانَ فِي رَیْب مِن مَا نَزَّلَ عَلَيٰ عَبْد أَتَي سُورَة مِن مِثْل دَعَا شَهِید مِن دُون ٱللَّه إِن كَانَ صَادِق
2##24	إِن لَم فَعَلَ لَن فَعَلَ ٱتَّقَيٰ نَار ٱلَّذِي وَقُود نَّاس حِجَارَة أَعَدَّ كَٰفِرُون
2##25	بُشِّرَ ٱلَّذِي ءَامَنَ عَمِلَ صَّٰلِحَٰت أَنّ جَنَّة جَرَیْ مِن تَحْت نَهَر كُلَّمَا رَزَقَ مِن مِن ثَمَرَة رِزْق قَالَ هَٰذَا ٱلَّذِي رَزَقَ مِن قَبْل أَتَي مُتَشَٰبِه فِي زَوْج مُّطَهَّرَة فِي خَٰلِد
